study,run,sample,cell_line,source,organism,assay,platform,instrument,layout,selection,data_type,center,experiment
SRP092413,SRR4787012,GSM2371222,CHP-134,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317215
SRP092413,SRR4787013,GSM2371223,CHP-212,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317216
SRP092413,SRR4787014,GSM2371224,COG-N-415,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317217
SRP092413,SRR4787015,GSM2371225,COG-N-440,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317218
SRP092413,SRR4787016,GSM2371226,COG-N-453,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317219
SRP092413,SRR4787017,GSM2371227,COG-N-471nb,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317220
SRP092413,SRR4787018,GSM2371228,COG-N-496,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317221
SRP092413,SRR4787019,GSM2371229,COG-N-519,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317222
SRP092413,SRR4787020,GSM2371230,COG-N-534,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317223
SRP092413,SRR4787021,GSM2371231,COG-N-549,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317224
SRP092413,SRR4787022,GSM2371232,COG-N-557nb,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317225
SRP092413,SRR4787023,GSM2371233,COG-N-561,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317226
SRP092413,SRR4787024,GSM2371234,COG-N-573,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317227
SRP092413,SRR4787025,GSM2371235,Felix,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317228
SRP092413,SRR4787026,GSM2371236,IMR-05,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317229
SRP092413,SRR4787027,GSM2371237,IMR-32,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317230
SRP092413,SRR4787028,GSM2371238,KELLY,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317231
SRP092413,SRR4787029,GSM2371239,LA-N-5,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317232
SRP092413,SRR4787030,GSM2371240,LA-N-6,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317233
SRP092413,SRR4787031,GSM2371241,NB-1,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317234
SRP092413,SRR4787032,GSM2371242,RD,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317235
SRP092413,SRR4787033,GSM2371243,NB-1643,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317236
SRP092413,SRR4787034,GSM2371244,NB-1691,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317237
SRP092413,SRR4787035,GSM2371245,NB-69,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317238
SRP092413,SRR4787036,GSM2371246,NB-EBc1,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317239
SRP092413,SRR4787037,GSM2371247,NB-SD,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317240
SRP092413,SRR4787038,GSM2371248,NBL-S,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317241
SRP092413,SRR4787039,GSM2371249,NGP,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317242
SRP092413,SRR4787040,GSM2371250,NLF,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317243
SRP092413,SRR4787041,GSM2371251,NMB,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317244
SRP092413,SRR4787043,GSM2371253,SH-SY5Y,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317246
SRP092413,SRR4787044,GSM2371254,SK-N-AS,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317247
SRP092413,SRR4787045,GSM2371255,SK-N-BE(2),neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317248
SRP092413,SRR4787046,GSM2371256,SK-N-BE(2)-C,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317249
SRP092413,SRR4787047,GSM2371257,SK-N-DZ,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317250
SRP092413,SRR4787048,GSM2371258,SK-N-FI,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317251
SRP092413,SRR4787049,GSM2371259,SK-N-SH,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317252
SRP092413,SRR4787050,GSM2371260,SMS-KAN,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317253
SRP092413,SRR4787051,GSM2371261,SMS-SAN,neuroblastoma-derived cell line,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317254
SRP092413,SRR4787052,GSM2371262,Human_Fetal_Brain,normal_tissue,Homo sapiens,RNA-Seq,ILLUMINA,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,SRX2317255
SRP006561,SRR191362,GSM714814,hNCC,normal_tissue,Homo sapiens,RNA-Seq,ILLUMINA,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,GEO,SRX059370
